filename,mean_intensity,min_intensity,max_intensity,well_ID,treatment,concentration,timestamp,hour,minutes,seconds,plate_position
240305134144P2_01h45m25s_A10_1B.tif,48.64265802556818,33,66,A10,AtezolizumabNG,10000.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_A11_1B.tif,49.05454841382576,32,67,A11,AtezolizumabWT,10000.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_A12_1B.tif,51.361546125315655,33,69,A12,AtezolizumabFut8,10000.0,01h45m25s,1,45,25,corner
240305134144P2_01h45m25s_A1_1B.tif,52.30232402146465,38,67,A1,media,0.0,01h45m25s,1,45,25,corner
240305134144P2_01h45m25s_A2_1B.tif,50.13850220959596,37,70,A2,media,0.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_A3_1B.tif,48.52505425347222,35,66,A3,media,0.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_A4_1B.tif,49.22175071022728,32,68,A4,AtezolizumabNG,10000.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_A5_1B.tif,48.94924538352273,31,71,A5,AtezolizumabWT,10000.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_A6_1B.tif,50.28126085069445,31,70,A6,AtezolizumabFut8,10000.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_A7_1B.tif,49.07595091540404,32,77,A7,AtezolizumabNG,10000.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_A8_1B.tif,50.17901574337121,36,70,A8,AtezolizumabWT,10000.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_A9_1B.tif,49.2510683001894,32,66,A9,AtezolizumabFut8,10000.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_B10_1B.tif,48.35760929608586,27,66,B10,AtezolizumabNG,2500.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_B11_1B.tif,48.43299202967172,31,67,B11,AtezolizumabWT,2500.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_B12_1B.tif,49.5556334832702,31,69,B12,AtezolizumabFut8,2500.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_B1_1B.tif,50.579828559027774,37,66,B1,media_w_NKcells,0.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_B2_1B.tif,50.2587219854798,38,67,B2,media_w_NKcells,0.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_B3_1B.tif,50.38669408933081,37,68,B3,media_w_NKcells,0.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_B4_1B.tif,48.0375641177399,30,63,B4,AtezolizumabNG,2500.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_B5_1B.tif,49.112890625,30,65,B5,AtezolizumabWT,2500.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_B6_1B.tif,49.5588531802399,31,73,B6,AtezolizumabFut8,2500.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_B7_1B.tif,50.61518899936869,32,75,B7,AtezolizumabNG,2500.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_B8_1B.tif,49.65551116635101,32,145,B8,AtezolizumabWT,2500.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_B9_1B.tif,47.82810921717172,30,69,B9,AtezolizumabFut8,2500.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_C10_1B.tif,47.97089942392677,31,65,C10,AtezolizumabNG,625.0,01h45m25s,1,45,25,3rd_row
240305134144P2_01h45m25s_C11_1B.tif,47.75403251262626,30,64,C11,AtezolizumabWT,625.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_C12_1B.tif,48.23825363005051,28,64,C12,AtezolizumabFut8,625.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_C1_1B.tif,50.16265190972222,36,65,C1,media_w_NKcells,0.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_C2_1B.tif,49.76497987689394,37,67,C2,media_w_NKcells,0.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_C3_1B.tif,49.53219795612374,37,67,C3,media_w_NKcells,0.0,01h45m25s,1,45,25,3rd_row
240305134144P2_01h45m25s_C4_1B.tif,48.17588482481061,30,67,C4,AtezolizumabNG,625.0,01h45m25s,1,45,25,3rd_row
240305134144P2_01h45m25s_C5_1B.tif,49.09756056660353,31,209,C5,AtezolizumabWT,625.0,01h45m25s,1,45,25,3rd_row
240305134144P2_01h45m25s_C6_1B.tif,47.85950816761363,31,66,C6,AtezolizumabFut8,625.0,01h45m25s,1,45,25,3rd_row
240305134144P2_01h45m25s_C7_1B.tif,49.31961805555556,30,69,C7,AtezolizumabNG,625.0,01h45m25s,1,45,25,3rd_row
240305134144P2_01h45m25s_C8_1B.tif,48.88681246054293,30,66,C8,AtezolizumabWT,625.0,01h45m25s,1,45,25,3rd_row
240305134144P2_01h45m25s_C9_1B.tif,48.37006392045455,30,65,C9,AtezolizumabFut8,625.0,01h45m25s,1,45,25,3rd_row
240305134144P2_01h45m25s_D10_1B.tif,48.46388494318182,29,71,D10,AtezolizumabNG,156.0,01h45m25s,1,45,25,3rd_row
240305134144P2_01h45m25s_D11_1B.tif,47.7947265625,29,66,D11,AtezolizumabWT,156.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_D12_1B.tif,50.75192353219697,31,68,D12,AtezolizumabFut8,156.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_D1_1B.tif,49.70283301767677,20,84,D1,DU145_w_NKcells,0.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_D2_1B.tif,50.6913391729798,30,74,D2,DU145_w_NKcells,0.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_D3_1B.tif,48.45920632102273,30,71,D3,DU145_w_NKcells,0.0,01h45m25s,1,45,25,3rd_row
240305134144P2_01h45m25s_D4_1B.tif,51.04930062342172,33,70,D4,AtezolizumabNG,156.0,01h45m25s,1,45,25,center
240305134144P2_01h45m25s_D5_1B.tif,48.5102174084596,29,90,D5,AtezolizumabWT,156.0,01h45m25s,1,45,25,center
240305134144P2_01h45m25s_D6_1B.tif,51.41392341382576,31,70,D6,AtezolizumabFut8,156.0,01h45m25s,1,45,25,center
240305134144P2_01h45m25s_D7_1B.tif,49.07956912878788,31,66,D7,AtezolizumabNG,156.0,01h45m25s,1,45,25,center
240305134144P2_01h45m25s_D8_1B.tif,48.8349550189394,31,69,D8,AtezolizumabWT,156.0,01h45m25s,1,45,25,center
240305134144P2_01h45m25s_D9_1B.tif,50.42522490530303,31,68,D9,AtezolizumabFut8,156.0,01h45m25s,1,45,25,center
240305134144P2_01h45m25s_E10_1B.tif,48.85048236268939,29,67,E10,AtezolizumabNG,39.06,01h45m25s,1,45,25,3rd_row
240305134144P2_01h45m25s_E11_1B.tif,47.65924972380051,30,67,E11,AtezolizumabWT,39.06,01h45m25s,1,45,25,2nd_row
