filename,mean_intensity,min_intensity,max_intensity,sum_intensity,well_ID,treatment,concentration,timestamp,hour,minutes,seconds,plate_position
240305134144P2_01h45m25s_A10_1W.tif,139.4286014441288,30,255,141347139,A10,AtezolizumabNG,10000.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_A11_1W.tif,139.91042455808082,22,255,141835592,A11,AtezolizumabWT,10000.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_A12_1W.tif,138.37123579545454,21,255,140275224,A12,AtezolizumabFut8,10000.0,01h45m25s,1,45,25,corner
240305134144P2_01h45m25s_A1_1W.tif,146.09163608743688,72,236,148101857,A1,media,0.0,01h45m25s,1,45,25,corner
240305134144P2_01h45m25s_A2_1W.tif,142.42936296559344,26,184,144389191,A2,media,0.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_A3_1W.tif,146.03086134785354,113,202,148040246,A3,media,0.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_A4_1W.tif,142.6925751657197,14,255,144656025,A4,AtezolizumabNG,10000.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_A5_1W.tif,140.01830906723484,22,255,141944961,A5,AtezolizumabWT,10000.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_A6_1W.tif,147.41505583175504,22,255,149443487,A6,AtezolizumabFut8,10000.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_A7_1W.tif,138.90581597222223,21,255,140817160,A7,AtezolizumabNG,10000.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_A8_1W.tif,142.38480606849748,27,255,144344021,A8,AtezolizumabWT,10000.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_A9_1W.tif,133.3961341934975,28,255,135231665,A9,AtezolizumabFut8,10000.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_B10_1W.tif,133.09672111742424,11,255,134928132,B10,AtezolizumabNG,2500.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_B11_1W.tif,136.21963679766415,19,255,138094019,B11,AtezolizumabWT,2500.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_B12_1W.tif,139.4127071496212,21,255,141331026,B12,AtezolizumabFut8,2500.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_B1_1W.tif,145.99712653882577,121,173,148006047,B1,media_w_NKcells,0.0,01h45m25s,1,45,25,outer_well
240305134144P2_01h45m25s_B2_1W.tif,148.228515625,54,227,150268140,B2,media_w_NKcells,0.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_B3_1W.tif,144.8332672427399,11,194,146826173,B3,media_w_NKcells,0.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_B4_1W.tif,141.2754517834596,21,255,143219402,B4,AtezolizumabNG,2500.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_B5_1W.tif,136.60503965435606,20,255,138484725,B5,AtezolizumabWT,2500.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_B6_1W.tif,130.0161497790404,16,255,131805172,B6,AtezolizumabFut8,2500.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_B7_1W.tif,140.43984276357324,22,255,142372295,B7,AtezolizumabNG,2500.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_B8_1W.tif,137.35869831123736,20,255,139248754,B8,AtezolizumabWT,2500.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_B9_1W.tif,138.78177576546716,18,255,140691413,B9,AtezolizumabFut8,2500.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_C10_1W.tif,130.79830827809343,22,255,132598093,C10,AtezolizumabNG,625.0,01h45m25s,1,45,25,3rd_row
240305134144P2_01h45m25s_C11_1W.tif,131.6745146780303,20,255,133486356,C11,AtezolizumabWT,625.0,01h45m25s,1,45,25,2nd_row
240305134144P2_01h45m25s_C12_1W.tif,134.79716402304294,27,255,136651973,C12,AtezolizumabFut8,625.0,01h45m25s,1,45,25,outer_well
